iata,icao,airport_id
SFA,DTTX,295
DJE,DTTJ,293
LRL,DXNG,297
GAE,DTTG,291
TOE,DTTZ,296
ANR,EBAW,299
BRU,EBBR,302
,EBBL,301
LFW,DXXX,298
,EBBX,303
,EBFN,306
,EBBE,300
CRL,EBCI,304
KJK,EBKT,308
,EBFS,307
OST,EBOS,310
,EBSL,311
,EBCV,305
LGG,EBLG,309
,EBST,312
,EBUL,314
,EBSU,313
,EBWE,315
,EDAD,319
OBL,EBZR,316
AOC,EDAC,318
,EDAB,317
,EDAK,322
,EDAM,323
,EDAQ,324
IES,EDAU,325
,EDAE,320
,EDAY,327
BBH,EDBH,329
,EDBK,331
QXH,EDAZ,328
,EDCA,334
ZMG,EDBM,332
,EDBR,333
,EDCM,336
REB,EDAX,326
CBU,EDCD,335
,EDBJ,330
FRA,EDDF,340
ERF,EDDE,339
SXF,EDDB,337
FMO,EDDG,341
THF,EDDI,343
DRS,EDDC,338
DUS,EDDL,345
CGN,EDDK,344
HAM,EDDH,342
NUE,EDDN,347
LEJ,EDDP,348
MUC,EDDM,346
TXL,EDDT,351
STR,EDDS,350
QEF,EDFE,354
SCN,EDDR,349
HAJ,EDDV,352
BRE,EDDW,353
EIB,EDGE,360
MHG,EDFM,356
HHN,EDFH,355
,EDFV,358
,EDFZ,359
LBC,EDHL,364
SGE,EDGS,361
XFW,EDHI,362
,EDKV,365
KEL,EDHK,363
,EDFQ,357
,EDKZ,366
BFE,EDLI,369
ESS,EDLE,368
,EDLA,367
PAD,EDLP,371
MGL,EDLN,370
,EDLS,372
,EDME,376
AGB,EDMA,374
,EDMN,377
DTM,EDLW,373
,EDMB,375
OBF,EDMO,378
RBM,EDMS,379
,EDNL,381
,EDMV,380
FDH,EDNY,382
HOQ,EDQM,388
,EDPA,385
SZW,EDOP,383
,EDOV,384
URD,EDQE,387
BYU,EDQD,386
,EDQT,389
ZQW,EDRZ,393
,EDRY,392
,EDRK,390
,EDRT,391
ZQL,EDTD,394
,EDTY,397
,EDUS,398
,EDTM,396
KSF,EDVK,400
EME,EDWE,403
BWE,EDVE,399
,EDVM,401
BRV,EDWB,402
WVN,EDWI,405
GWT,EDXW,410
,EEEI,411
,EDXR,409
FLF,EDXF,408
BMK,EDWR,406
NRD,EDWY,407
EPU,EEPU,414
URE,EEKE,413
,EFEU,418
TLL,EETN,415
TAY,EETU,416
KEV,EFHA,419
HEM,EFHF,420
,EFHM,422
JYV,EFJY,430
HEL,EFHK,421
,EFHN,423
KAU,EFKA,431
KTQ,EFIT,427
KAJ,EFKI,433
JOE,EFJO,429
,EFIM,426
HYV,EFHV,424
,EFKM,436
KHJ,EFKJ,434
KOK,EFKK,435
QLF,EFLA,440
,EFIK,425
KUO,EFKU,439
LPP,EFLP,441
IVL,EFIV,428
MIK,EFMI,444
,EFME,443
,EFNU,445
OUL,EFOU,446
