source_airport_id,destination_airport_id,distance,icao,iata
737,709,444.9737750274682,NTJ,2N
737,688,306.5466626679135,NTJ,2N
737,718,378.2006304759429,NTJ,2N
737,5595,259.4356307411654,NTJ,2N
737,719,546.6314791633005,NTJ,2N
737,442,122.32181171243397,NTJ,2N
737,722,421.9896952322421,NTJ,2N
737,448,292.6523458860144,NTJ,2N
737,664,436.64435301423003,NTJ,2N
737,746,222.80319257887297,NTJ,2N
737,729,551.370421480192,NTJ,2N
737,711,355.88667438732057,NTJ,2N
715,737,844.9163623723814,NTJ,2N
715,718,476.36554108827966,NTJ,2N
709,737,444.9737750274682,NTJ,2N
709,688,140.54881611934553,NTJ,2N
709,711,119.23319805698124,NTJ,2N
5599,729,159.18158601597654,NTJ,2N
688,737,306.5466626679135,NTJ,2N
688,709,140.54881611934553,NTJ,2N
435,448,260.75662427645085,NTJ,2N
718,737,378.2006304759429,NTJ,2N
718,715,476.36554108827966,NTJ,2N
5595,737,259.4356307411654,NTJ,2N
719,730,118.99150039552298,NTJ,2N
719,737,546.6314791633005,NTJ,2N
442,737,122.32181171243397,NTJ,2N
442,460,137.44234995123296,NTJ,2N
722,737,421.9896952322421,NTJ,2N
644,711,414.5213686475219,NTJ,2N
448,737,292.6523458860144,NTJ,2N
448,435,260.75662427645085,NTJ,2N
460,442,137.44234995123296,NTJ,2N
664,737,436.64435301423003,NTJ,2N
746,737,222.80319257887297,NTJ,2N
729,737,551.370421480192,NTJ,2N
729,5599,159.18158601597654,NTJ,2N
711,737,355.88667438732057,NTJ,2N
711,644,414.5213686475219,NTJ,2N
3531,7162,91.59022764011505,,2O
7162,7161,28.415661451522457,,2O
6019,2397,669.3324219966297,GAP,2P
4200,2397,786.5391673164684,GAP,2P
2399,2397,888.6446270274479,GAP,2P
2400,2397,783.175351716369,GAP,2P
6024,2397,450.6073389968099,GAP,2P
2425,2397,627.2719573703492,GAP,2P
8076,2397,6936.779566636778,GAP,2P
2402,2397,1041.0825478329655,GAP,2P
2430,2397,347.56310365623284,GAP,2P
4203,2397,329.75330729401514,GAP,2P
2397,6019,669.3324219966297,GAP,2P
2397,4200,786.5391673164684,GAP,2P
2397,2399,888.6446270274479,GAP,2P
2397,2400,783.175351716369,GAP,2P
2397,6024,450.6073389968099,GAP,2P
2397,2425,627.2719573703492,GAP,2P
2397,8076,6936.779566636778,GAP,2P
2397,2402,1041.0825478329655,GAP,2P
2397,2430,347.56310365623284,GAP,2P
2397,4203,329.75330729401514,GAP,2P
2397,2426,304.94401293679755,GAP,2P
2397,4204,768.9616500970192,GAP,2P
2397,2433,584.8493185969515,GAP,2P
2397,6026,374.5250361477008,GAP,2P
2397,6016,717.9588656267265,GAP,2P
2397,6021,357.1966739330853,GAP,2P
2397,2404,852.0993667782362,GAP,2P
2426,2397,304.94401293679755,GAP,2P
4204,2397,768.9616500970192,GAP,2P
2433,2397,584.8493185969515,GAP,2P
6026,2397,374.5250361477008,GAP,2P
6016,2397,717.9588656267265,GAP,2P
6021,2397,357.1966739330853,GAP,2P
2404,2397,852.0993667782362,GAP,2P
7376,4214,341.28046559027973,CGN,2Z
7373,2531,526.2323722823202,CGN,2Z
7373,2621,732.526986324663,CGN,2Z
2531,7373,526.2323722823202,CGN,2Z
2531,7367,939.4348381972699,CGN,2Z
2531,2613,586.538293388983,CGN,2Z
2535,2564,734.3168894590276,CGN,2Z
2548,2562,745.3550350147735,CGN,2Z
2548,7367,423.34151017262224,CGN,2Z
2538,7380,194.72828797227797,CGN,2Z
7380,2538,194.72828797227797,CGN,2Z
7380,2564,878.0513061611215,CGN,2Z
2560,2613,502.9765221304566,CGN,2Z
2564,2535,734.3168894590276,CGN,2Z
2564,7380,878.0513061611215,CGN,2Z
2564,2613,289.01924219000773,CGN,2Z
2564,2635,436.8629636368976,CGN,2Z
2564,2633,538.3548110012649,CGN,2Z
2564,6039,1121.5257351809553,CGN,2Z
2562,2548,745.3550350147735,CGN,2Z
2562,4214,711.9764438929353,CGN,2Z
2562,2613,523.96775466002,CGN,2Z
2562,2633,271.95303842838024,CGN,2Z
7367,2531,939.4348381972699,CGN,2Z
7367,2548,423.34151017262224,CGN,2Z
2528,2613,423.813874554605,CGN,2Z
4214,7376,341.28046559027973,CGN,2Z
4214,2562,711.9764438929353,CGN,2Z
2613,2531,586.538293388983,CGN,2Z
2613,2560,502.9765221304566,CGN,2Z
2613,2564,289.01924219000773,CGN,2Z
2613,2562,523.96775466002,CGN,2Z
2613,2528,423.813874554605,CGN,2Z
2613,2619,173.10604498413736,CGN,2Z
2613,2633,255.128035899796,CGN,2Z
2619,2613,173.10604498413736,CGN,2Z
2621,7373,732.526986324663,CGN,2Z
2621,6039,350.27426580359963,CGN,2Z
2635,2564,436.8629636368976,CGN,2Z
2635,2633,101.79236701154646,CGN,2Z
2633,2564,538.3548110012649,CGN,2Z
2633,2562,271.95303842838024,CGN,2Z
2633,2613,255.128035899796,CGN,2Z
2633,2635,101.79236701154646,CGN,2Z
6039,2564,1121.5257351809553,CGN,2Z
6039,2621,350.27426580359963,CGN,2Z
5726,3830,300.0974848581531,,3E
5726,3678,235.5210872702452,,3E
4042,3830,251.9827496622127,,3E
4042,3678,177.2194094824885,,3E
3591,3678,325.63760104262434,,3E
3830,5726,300.0974848581531,,3E
3830,4042,251.9827496622127,,3E
3678,5726,235.5210872702452,,3E
3678,4042,177.2194094824885,,3E
3678,3591,325.63760104262434,,3E
3808,7146,26.449741238570947,3FF,3F
7146,3808,26.449741238570947,3FF,3F
248,1084,2151.1708653702035,AYZ,3G
248,273,400.9576957932787,AYZ,3G
248,1063,1131.045968730935,AYZ,3G
1218,1050,3603.895787179055,AYZ,3G
1050,1218,3603.895787179055,AYZ,3G
1050,1084,180.37921543672374,AYZ,3G
1050,1059,647.1951335355659,AYZ,3G
4162,5665,341.22398152493446,AYZ,3G
1084,248,2151.1708653702035,AYZ,3G
1084,1050,180.37921543672374,AYZ,3G
1084,897,3213.39836013647,AYZ,3G
1084,1059,826.790630084166,AYZ,3G
1084,273,2448.9535701818786,AYZ,3G
1084,5665,373.9792823529358,AYZ,3G
897,1084,3213.39836013647,AYZ,3G
897,273,764.7407134832314,AYZ,3G
1059,1050,647.1951335355659,AYZ,3G
1059,1084,826.790630084166,AYZ,3G
1059,502,4882.815383726914,AYZ,3G
1059,1063,410.0519358712505,AYZ,3G
502,1059,4882.815383726914,AYZ,3G
273,248,400.9576957932787,AYZ,3G
273,1084,2448.9535701818786,AYZ,3G
273,897,764.7407134832314,AYZ,3G
273,1063,1514.1532985344338,AYZ,3G
5665,4162,341.22398152493446,AYZ,3G
5665,1084,373.9792823529358,AYZ,3G
1063,248,1131.045968730935,AYZ,3G
1063,1059,410.0519358712505,AYZ,3G
1063,273,1514.1532985344338,AYZ,3G
4119,2188,1994.6078797069874,WZP,3J
4119,2072,1205.7863743372666,WZP,3J
4119,5687,1087.2963690483332,WZP,3J
5687,4059,1003.4977306699813,WZP,3J
4059,5687,1003.4977306699813,WZP,3J
3885,3316,1418.4825972042215,JSA,3K
3999,3316,3342.8438374731745,JSA,3K
4120,3316,2185.2774549962955,JSA,3K
3386,3316,3654.102452638778,JSA,3K
3077,3316,2568.434919602679,JSA,3K
3179,3316,981.3142825258901,JSA,3K
3992,2397,2637.7306745642945,JSA,3K
3992,2276,1704.831576167129,JSA,3K
3304,3316,297.8037329465706,JSA,3K
2397,3992,2637.7306745642945,JSA,3K
2397,3316,2377.4982411675705,JSA,3K
3308,3316,603.0005936983071,JSA,3K
3351,3316,3915.1268914350253,JSA,3K
3034,3316,1138.9294967769306,JSA,3K
3035,3316,1342.7101376154671,JSA,3K
3239,3316,1934.0624412909406,JSA,3K
3205,3316,1094.2347321513546,JSA,3K
3316,3885,1418.4825972042215,JSA,3K
3316,3999,3342.8438374731745,JSA,3K
3316,4120,2185.2774549962955,JSA,3K
3316,3386,3654.102452638778,JSA,3K
3316,3077,2568.434919602679,JSA,3K
3316,3179,981.3142825258901,JSA,3K
3316,3304,297.8037329465706,JSA,3K
3316,2397,2377.4982411675705,JSA,3K
3316,3308,603.0005936983071,JSA,3K
3316,3351,3915.1268914350253,JSA,3K
3316,3034,1138.9294967769306,JSA,3K
3316,3035,1342.7101376154671,JSA,3K
3316,3239,1934.0624412909406,JSA,3K
3316,3205,1094.2347321513546,JSA,3K
3316,4302,2816.060274219347,JSA,3K
3316,2276,3225.973986927608,JSA,3K
4302,3316,2816.060274219347,JSA,3K
2276,3992,1704.831576167129,JSA,3K
2276,3316,3225.973986927608,JSA,3K
1679,1558,528.6362435829095,ISK,3L
338,1678,556.6958023601788,ISK,3L
345,382,448.9566928092694,ISK,3L
1558,1679,528.6362435829095,ISK,3L
1558,382,549.6512529525978,ISK,3L
1558,346,634.1879855929175,ISK,3L
1558,1678,540.2225643425164,ISK,3L
382,345,448.9566928092694,ISK,3L
382,1558,549.6512529525978,ISK,3L
382,342,664.2090858087428,ISK,3L
382,1520,753.9179430795327,ISK,3L
382,351,607.0691536742854,ISK,3L
382,1209,601.1368211771884,ISK,3L
3986,1561,853.4172847538266,ISK,3L
1609,1678,523.3671584325787,ISK,3L
342,382,664.2090858087428,ISK,3L
346,1558,634.1879855929175,ISK,3L
1561,3986,853.4172847538266,ISK,3L
1520,382,753.9179430795327,ISK,3L
1612,1678,336.1760494066426,ISK,3L
351,382,607.0691536742854,ISK,3L
1209,382,601.1368211771884,ISK,3L
1678,338,556.6958023601788,ISK,3L
1678,1558,540.2225643425164,ISK,3L
1678,1609,523.3671584325787,ISK,3L
1678,1612,336.1760494066426,ISK,3L
3682,6958,594.2633401847942,,3M
3682,3754,127.70430823662564,,3M
3682,4335,429.00024990288506,,3M
3682,5756,317.91300459097334,,3M
3682,5759,520.0042825355184,,3M
3682,5773,406.99828444822793,,3M
1937,3533,98.13376818736015,,3M
1943,3533,354.0637343867064,,3M
1943,3722,366.6982643878583,,3M
3875,3533,233.75807059273436,,3M
3875,3793,220.4227448455461,,3M
3875,3646,388.3943946106401,,3M
3533,1937,98.13376818736015,,3M
3533,1943,354.0637343867064,,3M
3533,3875,233.75807059273436,,3M
3533,1948,155.13468095765214,,3M
3533,1941,514.3456216693621,,3M
3533,1944,393.2974695035508,,3M
3533,3878,286.22001164693575,,3M
3533,1930,310.17629087795007,,3M
3533,1934,285.3118583975423,,3M
3533,3646,317.15239924750153,,3M
1948,3533,155.13468095765214,,3M
1941,3533,514.3456216693621,,3M
1941,1944,197.1236153068747,,3M
1944,3533,393.2974695035508,,3M
6130,5773,222.64834847249568,,3M
3472,3878,168.73490073878222,,3M
3472,3646,192.5618197427496,,3M
3712,1930,631.8766844624681,,3M
3712,3646,292.1410939763759,,3M
6958,3682,594.2633401847942,,3M
3754,3682,127.70430823662564,,3M
3754,3878,524.8927942663453,,3M
3878,3533,286.22001164693575,,3M
3878,3472,168.73490073878222,,3M
3878,3754,524.8927942663453,,3M
3878,1930,468.7368794014559,,3M
3878,3564,613.3805167255493,,3M
3878,3793,215.3056587655053,,3M
3878,3698,367.29273657733603,,3M
4335,3682,429.00024990288506,,3M
1930,3533,310.17629087795007,,3M
1930,3712,631.8766844624681,,3M
1930,3878,468.7368794014559,,3M
1930,3722,300.42167870921276,,3M
5756,3682,317.91300459097334,,3M
3722,1943,366.6982643878583,,3M
3722,1930,300.42167870921276,,3M
3722,3646,280.7141436493717,,3M
5759,3682,520.0042825355184,,3M
3564,3878,613.3805167255493,,3M
3564,3646,530.6614489578375,,3M
3793,3875,220.4227448455461,,3M
3793,3878,215.3056587655053,,3M
1934,3533,285.3118583975423,,3M
3698,3878,367.29273657733603,,3M
3698,3646,322.1933610985239,,3M
3646,3875,388.3943946106401,,3M
3646,3533,317.15239924750153,,3M
3646,3472,192.5618197427496,,3M
3646,3712,292.1410939763759,,3M
3646,3722,280.7141436493717,,3M
3646,3564,530.6614489578375,,3M
3646,3698,322.1933610985239,,3M
5773,3682,406.99828444822793,,3M
5773,6130,222.64834847249568,,3M
580,5673,2024.7602659404456,,3O
580,1080,2029.2166387116065,,3O
1218,1074,1227.8824970698772,,3O
1218,5673,832.0992017382247,,3O
1218,1080,931.712018310876,,3O
1525,1074,2012.3245885491106,,3O
1538,1074,2044.9647612956303,,3O
302,1074,2185.096219039766,,3O
302,5673,1871.7798110085348,,3O
302,1080,1883.3415065758093,,3O
344,5673,1947.905946206624,,3O
1074,1218,1227.8824970698772,,3O
1074,1525,2012.3245885491106,,3O
1074,1538,2044.9647612956303,,3O
1074,302,2185.096219039766,,3O
1074,1534,1806.2697651995181,,3O
1074,502,2068.5043280747927,,3O
1074,1335,1749.1619822101889,,3O
1074,1359,1515.3029932399795,,3O
1074,4317,3353.5642095010626,,3O
1074,1273,1381.364254594868,,3O
1074,1539,2170.4576079820017,,3O
1534,1074,1806.2697651995181,,3O
1066,1359,1323.4506716347657,,3O
502,1074,2068.5043280747927,,3O
502,1080,1776.6106633595673,,3O
1335,1074,1749.1619822101889,,3O
1359,1074,1515.3029932399795,,3O
1359,1066,1323.4506716347657,,3O
1359,5673,1128.925829217045,,3O
5673,580,2024.7602659404456,,3O
5673,1218,832.0992017382247,,3O
5673,302,1871.7798110085348,,3O
5673,344,1947.905946206624,,3O
5673,1359,1128.925829217045,,3O
5673,3998,720.0958020069021,,3O
3998,5673,720.0958020069021,,3O
4317,1074,3353.5642095010626,,3O
1273,1074,1381.364254594868,,3O
1080,580,2029.2166387116065,,3O
1080,1218,931.712018310876,,3O
1080,302,1883.3415065758093,,3O
1080,502,1776.6106633595673,,3O
1539,1074,2170.4576079820017,,3O
2895,2844,81.57899235289734,TNM,3P
2895,2848,285.80353870064505,TNM,3P
2896,2897,75.50366961429688,TNM,3P
2897,2895,119.92503801832333,TNM,3P
2844,2895,81.57899235289734,TNM,3P
2848,2895,285.80353870064505,TNM,3P
2966,4029,1236.6146221053843,GAI,3R
2966,2948,1904.1945937399257,GAI,3R
2980,4029,2618.5701787691532,GAI,3R
4029,2966,1236.6146221053843,GAI,3R
4029,2980,2618.5701787691532,GAI,3R
4029,6156,537.6780874760304,GAI,3R
4029,6149,2985.685140209298,GAI,3R
4029,6153,2778.159092505226,GAI,3R
4029,6150,2925.103902474513,GAI,3R
4029,6485,2627.1261292188897,GAI,3R
4029,2981,2763.4071212974422,GAI,3R
4029,1743,2003.3101267158538,GAI,3R
6156,4029,537.6780874760304,GAI,3R
6149,4029,2985.685140209298,GAI,3R
6153,4029,2778.159092505226,GAI,3R
2948,2966,1904.1945937399257,GAI,3R
6150,4029,2925.103902474513,GAI,3R
6485,4029,2627.1261292188897,GAI,3R
2981,4029,2763.4071212974422,GAI,3R
1743,4029,2003.3101267158538,GAI,3R
2874,2881,100.91306062121227,,3S
2774,2878,1442.2375844875266,,3S
2897,1762,698.8731183655033,,3S
2877,2881,83.72264996407993,,3S
2877,2899,337.983689576778,,3S
2878,2774,1442.2375844875266,,3S
2878,2881,194.8208236979178,,3S
2878,1762,1018.5632707551364,,3S
2878,2893,63.55046421239565,,3S
2881,2874,100.91306062121227,,3S
2881,2877,83.72264996407993,,3S
2881,2878,194.8208236979178,,3S
2881,6460,229.72715124101805,,3S
2881,1762,897.4275890963626,,3S
2881,2879,260.15129567376067,,3S
2881,2899,259.2500692528533,,3S
6460,2881,229.72715124101805,,3S
1762,2881,897.4275890963626,,3S
1762,2899,694.8875004769071,,3S
2879,2881,260.15129567376067,,3S
2893,2878,63.55046421239565,,3S
2899,2877,337.983689576778,,3S
2899,2881,259.2500692528533,,3S
2899,1762,694.8875004769071,,3S
6351,3379,1437.8500779822407,CSC,3U
3370,3393,966.7170247429068,CSC,3U
3370,3395,1223.9909350999399,CSC,3U
3370,2244,3521.500304505528,CSC,3U
3375,4380,1465.0662408813353,CSC,3U
3375,3393,863.4104703012489,CSC,3U
3375,3395,1026.169418015092,CSC,3U
3375,3386,782.1607934491669,CSC,3U
3375,3400,1622.4850601179762,CSC,3U
3375,3382,1484.6218226391218,CSC,3U
3375,3399,2488.38374279927,CSC,3U
4380,3375,1465.0662408813353,CSC,3U
4380,3388,1488.72604434504,CSC,3U
4380,4108,1069.6174004407962,CSC,3U
4380,3368,880.4712627331719,CSC,3U
3393,3370,966.7170247429068,CSC,3U
3393,3375,863.4104703012489,CSC,3U
3393,3371,662.8642664511847,CSC,3U
3393,3395,276.4843319893903,CSC,3U
3393,4109,1278.6829344180294,CSC,3U
3393,3404,1709.1324121800835,CSC,3U
3393,6353,374.9039500903513,CSC,3U
3393,4120,1155.1693746034114,CSC,3U
3393,3386,1330.3602543294858,CSC,3U
3393,3179,2557.504945009326,CSC,3U
3393,4085,977.1889768285847,CSC,3U
3393,3384,903.5821580051376,CSC,3U
3393,3382,631.3966467174315,CSC,3U
3393,3378,807.1535863372242,CSC,3U
3393,4033,712.6961080106148,CSC,3U
3393,4097,1523.4617589446864,CSC,3U
3393,3387,1431.039387665067,CSC,3U
3393,3388,1190.091019907673,CSC,3U
3393,3373,806.170412512342,CSC,3U
3393,3364,1465.6412368223769,CSC,3U
3393,3406,1462.839144173291,CSC,3U
3393,6435,592.6190656416746,CSC,3U
3393,4302,1196.6868249695071,CSC,3U
3393,3361,8494.419137007855,CSC,3U
3393,4030,1301.527736943162,CSC,3U
3393,3374,1064.330470034115,CSC,3U
3393,4108,1263.2627882652084,CSC,3U
3393,2275,1560.3761260380159,CSC,3U
3393,3368,1433.9257579493003,CSC,3U
3393,3369,1050.912313900629,CSC,3U
3393,3399,2315.73108249728,CSC,3U
3393,3376,736.9798901298477,CSC,3U
3393,6390,1334.705964983526,CSC,3U
3393,3379,562.6292508948713,CSC,3U
3393,6366,870.4674230566218,CSC,3U
3393,6361,474.95027134879746,CSC,3U
3393,6357,1017.5282088730202,CSC,3U
3371,3393,662.8642664511847,CSC,3U
3371,3395,937.6135957210993,CSC,3U
3371,3385,686.0892091827167,CSC,3U
3371,3382,1079.5699548603022,CSC,3U
3371,4144,1763.1923702801432,CSC,3U
3371,6392,750.2955481876977,CSC,3U
3371,3383,635.6991140094552,CSC,3U
3395,3370,1223.9909350999399,CSC,3U
3395,3375,1026.169418015092,CSC,3U
3395,3393,276.4843319893903,CSC,3U
3395,3371,937.6135957210993,CSC,3U
3395,9310,400.68425886773423,CSC,3U
3395,6434,1128.352935704389,CSC,3U
3395,4120,1353.3315911721238,CSC,3U
3395,8407,1174.9592883866378,CSC,3U
3395,6345,1345.6870660970676,CSC,3U
3395,3389,1277.7328083452192,CSC,3U
3395,3386,1581.9834142932175,CSC,3U
3395,3077,1353.1629745912408,CSC,3U
3395,3179,2568.56918259184,CSC,3U
3395,3930,2206.664843455941,CSC,3U
3395,4085,899.8131721301821,CSC,3U
3395,3381,1009.1316343165287,CSC,3U
3395,8781,485.2938370318937,CSC,3U
3395,4301,254.46962614437038,CSC,3U
3395,3384,1170.589256483965,CSC,3U
3395,3382,617.8102606577212,CSC,3U
3395,6379,1184.7616385167353,CSC,3U
3395,3394,529.2062764285904,CSC,3U
3395,3378,661.5612064689155,CSC,3U
3395,4033,564.7996923227068,CSC,3U
3395,6376,870.8042672739704,CSC,3U
3395,4097,1264.760735702773,CSC,3U
3395,6402,937.6648935692464,CSC,3U
3395,3339,8707.133154280706,CSC,3U
3395,3388,1425.5409045396395,CSC,3U
3395,3373,981.6016929016317,CSC,3U
3395,3364,1557.7977653602413,CSC,3U
3395,3406,1705.785346179926,CSC,3U
3395,6435,496.18241790776233,CSC,3U
3395,4144,2137.2020954851682,CSC,3U
3395,6347,1305.7326264308874,CSC,3U
3395,4030,1473.8166198956064,CSC,3U
3395,3374,1319.7411456772227,CSC,3U
3395,3390,1649.541608305533,CSC,3U
3395,4108,1411.521147934181,CSC,3U
3395,2275,1835.9217414515567,CSC,3U
3395,3368,1547.3171400611036,CSC,3U
3395,3369,1128.6141978838323,CSC,3U
3395,3399,2073.805552337679,CSC,3U
3395,6392,1666.8958304978396,CSC,3U
3395,3376,982.2741235212036,CSC,3U
3395,6390,1573.9141030129656,CSC,3U
3395,6403,430.1231421356397,CSC,3U
3395,3396,335.22872545938117,CSC,3U
3395,3379,623.4600778256414,CSC,3U
3395,3383,1550.5849511218235,CSC,3U
3395,6366,685.3393556979277,CSC,3U
3395,4149,1336.2916606548126,CSC,3U
3395,6361,721.8982939365351,CSC,3U
3395,8876,1510.7212902407146,CSC,3U
4109,3393,1278.6829344180294,CSC,3U
4109,3400,1624.1739698200993,CSC,3U
4109,3383,836.8284668102708,CSC,3U
4109,6355,1272.6024369618005,CSC,3U
6344,3369,267.9368282363211,CSC,3U
9310,3395,400.68425886773423,CSC,3U
3404,3393,1709.1324121800835,CSC,3U
3404,3386,977.7357995047103,CSC,3U
3404,3400,836.1330196795376,CSC,3U
3404,4108,446.2858732476944,CSC,3U
3404,4149,652.0360751595836,CSC,3U
4308,3378,869.215099962409,CSC,3U
6434,3395,1128.352935704389,CSC,3U
6434,4144,1175.1772861994978,CSC,3U
6353,3393,374.9039500903513,CSC,3U
6353,3388,859.5895869684161,CSC,3U
3385,3371,686.0892091827167,CSC,3U
3385,3379,1412.472153543331,CSC,3U
9311,4097,1264.3934785845613,CSC,3U
9311,3379,560.7943669035373,CSC,3U
4120,3393,1155.1693746034114,CSC,3U
4120,3395,1353.3315911721238,CSC,3U
4120,3386,1523.0627645759964,CSC,3U
4120,3387,1562.5169211216753,CSC,3U
4120,6355,380.91158173322486,CSC,3U
8407,3395,1174.9592883866378,CSC,3U
6345,3395,1345.6870660970676,CSC,3U
3389,3395,1277.7328083452192,CSC,3U
3386,3375,782.1607934491669,CSC,3U
3386,3393,1330.3602543294858,CSC,3U
3386,3395,1581.9834142932175,CSC,3U
3386,3404,977.7357995047103,CSC,3U
3386,4120,1523.0627645759964,CSC,3U
3386,3394,1395.8576103689886,CSC,3U
3386,3368,1029.5407888248667,CSC,3U
3386,3369,1103.3507332798624,CSC,3U
3077,3395,1353.1629745912408,CSC,3U
3077,6361,949.5675541587584,CSC,3U
3077,6357,387.38506786674697,CSC,3U
3179,3393,2557.504945009326,CSC,3U
3179,3395,2568.56918259184,CSC,3U
3400,3375,1622.4850601179762,CSC,3U
3400,4109,1624.1739698200993,CSC,3U
3400,3404,836.1330196795376,CSC,3U
3400,4085,1845.4160357538706,CSC,3U
3400,3387,1807.4137631688516,CSC,3U
3400,3388,1671.4839992343298,CSC,3U
3400,6954,799.8569169812355,CSC,3U
3400,6347,1255.8808950326975,CSC,3U
3400,4108,1232.8442538197849,CSC,3U
3400,3368,1028.1448667163822,CSC,3U
